Tamanho do Download (KB),Data do Download,Fuso Horário,Nome do Arquivo,Início do Ciclo AD,Tipo de Arquivo,Horário Sinótico,Tipo de Observação,Data da Observação
0,2025-03-08 08:35:17,+0000,gdas.t06z.osbuv8.tm00.bufr_d.20250219,202508-0303-08 03:43:59,gdas,06,osbuv8,2025-02-19 06:00:00
59411136,2025-03-08 08:35:54,+0000,gdas.t06z.prepbufr.nr.20250219,202508-0303-08 03:43:59,gdas,06,prepbufr,2025-02-19 06:00:00
104647392,2025-03-08 08:35:25,+0000,gdas.t06z.satwnd.tm00.bufr_d.20250219,202508-0303-08 03:43:59,gdas,06,satwnd,2025-02-19 06:00:00
13944072,2025-03-08 09:09:14,+0000,gdas.t12z.1bamua.tm00.bufr_d.20250219,2025-03-08 09:10:19,gdas,12,1bamua,2025-02-19 12:00:00
15610984,2025-03-08 09:09:17,+0000,gdas.t12z.1bhrs4.tm00.bufr_d.20250219,2025-03-08 09:10:19,gdas,12,1bhrs4,2025-02-19 12:00:00
0,2025-03-08 09:09:10,+0000,gdas.t12z.airsev.tm00.bufr_d.20250219,2025-03-08 09:10:19,gdas,12,airsev,2025-02-19 12:00:00
217545480,2025-03-08 09:09:23,+0000,gdas.t12z.atms.tm00.bufr_d.20250219,2025-03-08 09:10:19,gdas,12,atms,2025-02-19 12:00:00
1487919160,2025-03-08 09:09:52,+0000,gdas.t12z.crisf4.tm00.bufr_d.20250219,2025-03-08 09:10:19,gdas,12,crisf4,2025-02-19 12:00:00
26653480,2025-03-08 09:09:13,+0000,gdas.t12z.eshrs3.tm00.bufr_d.20250219,2025-03-08 09:10:19,gdas,12,eshrs3,2025-02-19 12:00:00
54838368,2025-03-08 09:09:16,+0000,gdas.t12z.esmhs.tm00.bufr_d.20250219,2025-03-08 09:10:19,gdas,12,esmhs,2025-02-19 12:00:00
10777520,2025-03-08 09:09:19,+0000,gdas.t12z.gome.tm00.bufr_d.20250219,2025-03-08 09:10:19,gdas,12,gome,2025-02-19 12:00:00
1826976,2025-03-08 09:09:12,+0000,gdas.t12z.gpsipw.tm00.bufr_d.nr.20250219,2025-03-08 09:10:19,gdas,12,gpsipw,2025-02-19 12:00:00
50824416,2025-03-08 09:09:36,+0000,gdas.t12z.gpsro.tm00.bufr_d.20250219,2025-03-08 09:10:19,gdas,12,gpsro,2025-02-19 12:00:00
763121296,2025-03-08 09:09:31,+0000,gdas.t12z.mtiasi.tm00.bufr_d.20250219,2025-03-08 09:10:19,gdas,12,mtiasi,2025-02-19 12:00:00
0,2025-03-08 09:09:20,+0000,gdas.t12z.osbuv8.tm00.bufr_d.20250219,2025-03-08 09:10:19,gdas,12,osbuv8,2025-02-19 12:00:00
65704736,2025-03-08 09:09:53,+0000,gdas.t12z.prepbufr.nr.20250219,2025-03-08 09:10:19,gdas,12,prepbufr,2025-02-19 12:00:00
123495848,2025-03-08 09:09:34,+0000,gdas.t12z.satwnd.tm00.bufr_d.20250219,2025-03-08 09:10:19,gdas,12,satwnd,2025-02-19 12:00:00
13725352,2025-03-08 09:43:12,+0000,gdas.t18z.1bamua.tm00.bufr_d.20250219,2025-03-08 09:44:25,gdas,18,1bamua,2025-02-19 18:00:00
15198392,2025-03-08 09:43:22,+0000,gdas.t18z.1bhrs4.tm00.bufr_d.20250219,2025-03-08 09:44:25,gdas,18,1bhrs4,2025-02-19 18:00:00
0,2025-03-08 09:43:11,+0000,gdas.t18z.airsev.tm00.bufr_d.20250219,2025-03-08 09:44:25,gdas,18,airsev,2025-02-19 18:00:00
217785952,2025-03-08 09:43:20,+0000,gdas.t18z.atms.tm00.bufr_d.20250219,2025-03-08 09:44:25,gdas,18,atms,2025-02-19 18:00:00
1480942824,2025-03-08 09:43:52,+0000,gdas.t18z.crisf4.tm00.bufr_d.20250219,2025-03-08 09:44:25,gdas,18,crisf4,2025-02-19 18:00:00
23819144,2025-03-08 09:43:13,+0000,gdas.t18z.eshrs3.tm00.bufr_d.20250219,2025-03-08 09:44:25,gdas,18,eshrs3,2025-02-19 18:00:00
41474448,2025-03-08 09:43:17,+0000,gdas.t18z.esmhs.tm00.bufr_d.20250219,2025-03-08 09:44:25,gdas,18,esmhs,2025-02-19 18:00:00
10555264,2025-03-08 09:43:23,+0000,gdas.t18z.gome.tm00.bufr_d.20250219,2025-03-08 09:44:25,gdas,18,gome,2025-02-19 18:00:00
1933056,2025-03-08 09:43:14,+0000,gdas.t18z.gpsipw.tm00.bufr_d.nr.20250219,2025-03-08 09:44:25,gdas,18,gpsipw,2025-02-19 18:00:00
49924424,2025-03-08 09:43:54,+0000,gdas.t18z.gpsro.tm00.bufr_d.20250219,2025-03-08 09:44:25,gdas,18,gpsro,2025-02-19 18:00:00
821047368,2025-03-08 09:43:35,+0000,gdas.t18z.mtiasi.tm00.bufr_d.20250219,2025-03-08 09:44:25,gdas,18,mtiasi,2025-02-19 18:00:00
0,2025-03-08 09:43:15,+0000,gdas.t18z.osbuv8.tm00.bufr_d.20250219,2025-03-08 09:44:25,gdas,18,osbuv8,2025-02-19 18:00:00
55130024,2025-03-08 09:43:56,+0000,gdas.t18z.prepbufr.nr.20250219,2025-03-08 09:44:25,gdas,18,prepbufr,2025-02-19 18:00:00
173610928,2025-03-08 09:43:26,+0000,gdas.t18z.satwnd.tm00.bufr_d.20250219,2025-03-08 09:44:25,gdas,18,satwnd,2025-02-19 18:00:00
13648608,2025-03-08 10:17:13,+0000,gdas.t00z.1bamua.tm00.bufr_d.20250220,2025-03-08 10:18:21,gdas,00,1bamua,2025-02-20 00:00:00
15194416,2025-03-08 10:17:15,+0000,gdas.t00z.1bhrs4.tm00.bufr_d.20250220,2025-03-08 10:18:21,gdas,00,1bhrs4,2025-02-20 00:00:00
0,2025-03-08 10:17:11,+0000,gdas.t00z.airsev.tm00.bufr_d.20250220,2025-03-08 10:18:21,gdas,00,airsev,2025-02-20 00:00:00
217125552,2025-03-08 10:17:23,+0000,gdas.t00z.atms.tm00.bufr_d.20250220,2025-03-08 10:18:21,gdas,00,atms,2025-02-20 00:00:00
1483828560,2025-03-08 10:17:56,+0000,gdas.t00z.crisf4.tm00.bufr_d.20250220,2025-03-08 10:18:21,gdas,00,crisf4,2025-02-20 00:00:00
29572808,2025-03-08 10:17:16,+0000,gdas.t00z.eshrs3.tm00.bufr_d.20250220,2025-03-08 10:18:21,gdas,00,eshrs3,2025-02-20 00:00:00
67460264,2025-03-08 10:17:18,+0000,gdas.t00z.esmhs.tm00.bufr_d.20250220,2025-03-08 10:18:21,gdas,00,esmhs,2025-02-20 00:00:00
10780304,2025-03-08 10:17:20,+0000,gdas.t00z.gome.tm00.bufr_d.20250220,2025-03-08 10:18:21,gdas,00,gome,2025-02-20 00:00:00
1734664,2025-03-08 10:17:12,+0000,gdas.t00z.gpsipw.tm00.bufr_d.nr.20250220,2025-03-08 10:18:21,gdas,00,gpsipw,2025-02-20 00:00:00
51929728,2025-03-08 10:17:38,+0000,gdas.t00z.gpsro.tm00.bufr_d.20250220,2025-03-08 10:18:21,gdas,00,gpsro,2025-02-20 00:00:00
821731864,2025-03-08 10:17:34,+0000,gdas.t00z.mtiasi.tm00.bufr_d.20250220,2025-03-08 10:18:21,gdas,00,mtiasi,2025-02-20 00:00:00
0,2025-03-08 10:17:19,+0000,gdas.t00z.osbuv8.tm00.bufr_d.20250220,2025-03-08 10:18:21,gdas,00,osbuv8,2025-02-20 00:00:00
61426928,2025-03-08 10:17:40,+0000,gdas.t00z.prepbufr.nr.20250220,2025-03-08 10:18:21,gdas,00,prepbufr,2025-02-20 00:00:00
148399048,2025-03-08 10:17:37,+0000,gdas.t00z.satwnd.tm00.bufr_d.20250220,2025-03-08 10:18:21,gdas,00,satwnd,2025-02-20 00:00:00
13769776,2025-03-08 14:40:13,+0000,gdas.t06z.1bamua.tm00.bufr_d.20250220,2025-03-08 14:41:22,gdas,06,1bamua,2025-02-20 06:00:00
15189616,2025-03-08 14:40:19,+0000,gdas.t06z.1bhrs4.tm00.bufr_d.20250220,2025-03-08 14:41:22,gdas,06,1bhrs4,2025-02-20 06:00:00
0,2025-03-08 14:40:10,+0000,gdas.t06z.airsev.tm00.bufr_d.20250220,2025-03-08 14:41:22,gdas,06,airsev,2025-02-20 06:00:00
218190600,2025-03-08 14:40:24,+0000,gdas.t06z.atms.tm00.bufr_d.20250220,2025-03-08 14:41:22,gdas,06,atms,2025-02-20 06:00:00
1490378912,2025-03-08 14:40:55,+0000,gdas.t06z.crisf4.tm00.bufr_d.20250220,2025-03-08 14:41:22,gdas,06,crisf4,2025-02-20 06:00:00
21162648,2025-03-08 14:40:16,+0000,gdas.t06z.eshrs3.tm00.bufr_d.20250220,2025-03-08 14:41:22,gdas,06,eshrs3,2025-02-20 06:00:00
36991008,2025-03-08 14:40:12,+0000,gdas.t06z.esmhs.tm00.bufr_d.20250220,2025-03-08 14:41:22,gdas,06,esmhs,2025-02-20 06:00:00
10561864,2025-03-08 14:40:21,+0000,gdas.t06z.gome.tm00.bufr_d.20250220,2025-03-08 14:41:22,gdas,06,gome,2025-02-20 06:00:00
1863648,2025-03-08 14:40:18,+0000,gdas.t06z.gpsipw.tm00.bufr_d.nr.20250220,2025-03-08 14:41:22,gdas,06,gpsipw,2025-02-20 06:00:00
54162752,2025-03-08 14:40:40,+0000,gdas.t06z.gpsro.tm00.bufr_d.20250220,2025-03-08 14:41:22,gdas,06,gpsro,2025-02-20 06:00:00
